Date,Sentiment_Score
2016-01-01,-0.3333
2016-01-02,0.0
2016-01-03,1.0
2016-01-04,-0.6429
2016-01-05,-0.4583
2016-01-06,-0.5
2016-01-07,-0.5926
2016-01-08,-0.7931
2016-01-09,-1.0
2016-01-10,-0.8333
2016-01-11,-0.5333
2016-01-12,-0.1176
2016-01-13,-0.6087
2016-01-14,-0.2571
2016-01-15,-0.7407
2016-01-16,-1.0
2016-01-17,-1.0
2016-01-18,-1.0
2016-01-19,-0.04
2016-01-20,-0.7353
2016-01-21,-0.1739
2016-01-22,0.05
2016-01-23,-0.6667
2016-01-24,0.125
2016-01-25,-0.6818
2016-01-26,-0.2121
2016-01-27,-0.381
2016-01-28,0.4
2016-01-29,-0.2105
2016-01-30,-0.3333
2016-01-31,-1.0
2016-02-01,-0.25
2016-02-02,-0.2778
2016-02-03,-0.1429
2016-02-04,-0.0769
2016-02-05,-0.6364
2016-02-06,-0.3333
2016-02-07,-0.25
2016-02-08,-0.7407
2016-02-09,-0.7297
2016-02-10,-0.4545
2016-02-11,-0.9615
2016-02-12,-0.1786
2016-02-13,0.0
2016-02-14,0.0
2016-02-15,-0.5714
2016-02-16,0.375
2016-02-17,0.45
2016-02-18,-0.3889
2016-02-19,-0.3333
2016-02-20,-0.6667
2016-02-21,-1.0
2016-02-22,0.2857
2016-02-23,-0.625
2016-02-24,-0.6667
2016-02-25,0.2
2016-02-26,0.7333
2016-02-27,-1.0
2016-02-28,0.0
2016-02-29,-0.0526
2016-03-01,0.1111
2016-03-02,0.0909
2016-03-03,0.1111
2016-03-04,0.4583
2016-03-05,0.0
2016-03-06,0.0
2016-03-07,-0.3571
2016-03-08,-0.4737
2016-03-09,0.0
2016-03-10,-0.15
2016-03-11,0.2308
2016-03-12,-1.0
2016-03-13,1.0
2016-03-14,-0.087
2016-03-15,-0.7647
2016-03-16,0.2778
2016-03-17,-0.1818
2016-03-18,0.45
2016-03-20,0.6667
2016-03-21,-0.3462
2016-03-22,-0.65
2016-03-23,-0.3889
2016-03-24,-0.4167
2016-03-25,-1.0
2016-03-26,-1.0
2016-03-28,-0.1176
2016-03-29,-0.4
2016-03-30,0.375
2016-03-31,-0.3889
2016-04-01,-0.4286
2016-04-04,-0.625
2016-04-05,-0.84
2016-04-06,0.1667
2016-04-07,-0.4583
2016-04-08,0.05
2016-04-10,-1.0
2016-04-11,-0.5217
2016-04-12,0.5789
2016-04-13,0.4091
2016-04-14,0.0769
2016-04-15,-0.7059
2016-04-16,0.3333
2016-04-17,1.0
2016-04-18,-0.2083
2016-04-19,-0.1905
2016-04-20,0.1739
2016-04-21,-0.5789
2016-04-22,-0.5
2016-04-23,0.3333
2016-04-25,-0.5
2016-04-26,-0.0476
2016-04-27,-0.56
2016-04-28,-0.5714
2016-04-29,-0.6154
2016-04-30,-0.5
2016-05-01,-1.0
2016-05-02,-0.8333
2016-05-03,-0.5455
2016-05-04,-0.4444
2016-05-05,-0.25
2016-05-06,-0.2
2016-05-07,-0.3333
2016-05-09,-0.1053
2016-05-10,0.4286
2016-05-11,-0.5238
2016-05-12,-0.4706
2016-05-13,-0.35
2016-05-15,-1.0
2016-05-16,-0.0588
2016-05-17,-0.0556
2016-05-18,-0.2727
2016-05-19,-0.4706
2016-05-20,0.2273
2016-05-21,-0.3333
2016-05-22,-0.5
2016-05-23,-0.3529
2016-05-24,0.2667
2016-05-25,0.4615
2016-05-26,-0.3
2016-05-27,0.1875
2016-05-28,1.0
2016-05-29,1.0
2016-05-30,0.25
2016-05-31,0.2778
2016-06-01,-0.4
2016-06-02,-0.1765
2016-06-03,-0.6
2016-06-04,-1.0
2016-06-06,0.25
2016-06-07,0.6471
2016-06-08,0.1818
2016-06-09,-0.7
2016-06-10,-0.5417
2016-06-11,-0.5
2016-06-12,-1.0
2016-06-13,-0.75
2016-06-14,-0.84
2016-06-15,-0.2
2016-06-16,-0.6429
2016-06-17,-0.25
2016-06-18,0.0
2016-06-19,1.0
2016-06-20,0.0909
2016-06-21,0.4667
2016-06-22,-0.0625
2016-06-23,0.04
2016-06-24,-0.8485
2016-06-25,0.0
2016-06-26,-0.7143
2016-06-27,-0.8636
2016-06-28,0.3571
2016-06-29,0.2857
2016-06-30,-0.2609
2016-07-01,-0.2778
2016-07-02,-1.0
2016-07-03,-1.0
2016-07-04,1.0
2016-07-05,-0.9167
2016-07-06,-0.3125
2016-07-07,-0.2
2016-07-08,0.45
2016-07-09,0.0
2016-07-10,1.0
2016-07-11,0.36
2016-07-12,0.4242
2016-07-13,-0.1667
2016-07-14,0.619
2016-07-15,0.04
2016-07-17,0.6667
2016-07-18,0.2667
2016-07-19,-0.8095
2016-07-20,0.4167
2016-07-21,-0.25
2016-07-22,0.3889
2016-07-23,0.0
2016-07-24,0.0
2016-07-25,-0.4286
2016-07-26,-0.75
2016-07-27,0.1538
2016-07-28,0.0
2016-07-29,-0.1765
2016-07-31,0.0
2016-08-01,-0.45
2016-08-02,-0.8
2016-08-03,-0.375
2016-08-04,-0.3333
2016-08-05,0.5
2016-08-06,-1.0
2016-08-07,1.0
2016-08-08,0.0667
2016-08-09,0.4
2016-08-10,-0.5714
2016-08-11,0.1176
2016-08-12,-0.0435
2016-08-13,0.0
2016-08-15,0.52
2016-08-16,-0.4091
2016-08-17,-0.6
2016-08-18,0.0833
2016-08-19,-0.5263
2016-08-20,-1.0
2016-08-21,0.0
2016-08-22,-0.4286
2016-08-23,0.4211
2016-08-24,-0.1765
2016-08-25,-0.6
2016-08-26,-0.5
2016-08-27,0.0
2016-08-29,0.2941
2016-08-30,-0.7222
2016-08-31,-0.2667
2016-09-01,-0.6
2016-09-02,0.5
2016-09-03,0.5
2016-09-05,-0.75
2016-09-06,0.3
2016-09-07,-0.4211
2016-09-08,-0.5238
2016-09-09,-0.6087
2016-09-11,-1.0
2016-09-12,-0.2941
2016-09-13,-0.6842
2016-09-14,-0.1111
2016-09-15,-0.2778
2016-09-16,-0.1818
2016-09-17,0.0
2016-09-19,-0.3333
2016-09-20,0.375
2016-09-21,0.2778
2016-09-22,0.3
2016-09-23,-0.5417
2016-09-24,0.0
2016-09-26,-0.8824
2016-09-27,0.5
2016-09-28,0.125
2016-09-29,-0.6667
2016-09-30,-0.0556
2016-10-01,0.0
2016-10-02,0.0
2016-10-03,-0.3077
2016-10-04,-0.1579
2016-10-05,0.0667
2016-10-06,-0.2
2016-10-07,-0.6667
2016-10-08,0.0
2016-10-09,0.0
2016-10-10,-0.1765
2016-10-11,-0.8571
2016-10-12,-0.6875
2016-10-13,-0.72
2016-10-14,0.2941
2016-10-16,1.0
2016-10-17,-0.5
2016-10-18,0.7
2016-10-19,0.3333
2016-10-20,-0.3529
2016-10-21,-0.4286
2016-10-22,0.3333
2016-10-23,-1.0
2016-10-24,0.1481
2016-10-25,-0.1923
2016-10-26,-0.7059
2016-10-27,-0.3846
2016-10-28,-0.4615
2016-10-30,0.0
2016-10-31,-0.5333
2016-11-01,-0.44
2016-11-02,-0.619
2016-11-03,-0.44
2016-11-04,-0.619
2016-11-05,-1.0
2016-11-06,0.5
2016-11-07,-0.1071
2016-11-08,0.2759
2016-11-09,-0.381
2016-11-10,0.1111
2016-11-11,0.0
2016-11-12,0.5
2016-11-13,-1.0
2016-11-14,-0.1
2016-11-15,0.3333
2016-11-16,-0.5556
2016-11-17,0.2381
2016-11-18,-0.2143
2016-11-19,0.0
2016-11-20,0.5
2016-11-21,0.5294
2016-11-22,0.5
2016-11-23,0.0625
2016-11-24,1.0
2016-11-25,0.6111
2016-11-26,1.0
2016-11-27,-0.6667
2016-11-28,-0.5263
2016-11-29,0.15
2016-11-30,0.5882
2016-12-01,0.1364
2016-12-02,-0.55
2016-12-03,1.0
2016-12-04,0.3333
2016-12-05,0.4545
2016-12-06,0.0714
2016-12-07,0.2
2016-12-08,0.1053
2016-12-09,0.36
2016-12-10,1.0
2016-12-11,0.0
2016-12-12,-0.3333
2016-12-13,0.1111
2016-12-14,-0.2083
2016-12-15,0.1765
2016-12-16,-0.2941
2016-12-18,-1.0
2016-12-19,0.3889
2016-12-20,0.6842
2016-12-21,-0.4
2016-12-22,-0.7059
2016-12-23,-0.1176
2016-12-26,0.5
2016-12-27,0.8667
2016-12-28,-0.3846
2016-12-29,-0.7222
2016-12-30,-0.1667
2016-12-31,1.0
2017-01-02,-0.25
2017-01-03,0.2941
2017-01-04,0.8571
2017-01-05,-0.55
2017-01-06,0.0556
2017-01-07,-1.0
2017-01-08,-0.2
2017-01-09,-0.3684
2017-01-10,-0.2308
2017-01-11,0.125
2017-01-12,-0.3462
2017-01-13,0.3333
2017-01-14,-1.0
2017-01-15,1.0
2017-01-16,-0.2
2017-01-17,-0.5455
2017-01-18,0.1333
2017-01-19,-0.3182
2017-01-20,0.32
2017-01-21,0.0
2017-01-22,1.0
2017-01-23,-0.6471
2017-01-24,0.0
2017-01-25,0.6
2017-01-26,0.1579
2017-01-27,-0.4444
2017-01-29,0.0
2017-01-30,-0.5769
2017-01-31,-0.3871
2017-02-01,0.3333
2017-02-02,-0.3636
